committee,committee_type,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
COLORADANS FOR ACCOUNTABLE GOVERNMENT,Independent Expenditure Committee,2600.0,2025-02-04 00:00:00,Ringside Consulting Llc,Denver,CO,80212,Consultant & Professional Services,
ALL TOGETHER COLORADO,Independent Expenditure Committee,10000.0,2025-02-05 00:00:00,Mountaintop Strategies,Thornton,CO,80229,Consultant & Professional Services,
ALL TOGETHER COLORADO,Independent Expenditure Committee,8500.0,2025-02-05 00:00:00,Blue Mountain Strategies,Denver,CO,80223,Consultant & Professional Services,
BALANCING THE ROCKIES,Independent Expenditure Committee,20.0,2025-02-05 00:00:00,Time Park,Denver,CO,80203,Travel & Lodging,Event Parking
FRIENDS FOR THE FUTURE (F3),527 Political Organization,0.7,2025-02-05 00:00:00,Anedot Inc,New Orleans,LA,70112,Bank Fees,Anedot (Sielaff)
JUSTICE FOR JASON,Independent Expenditure Committee,150.0,2025-02-05 00:00:00,Polifi Llc,Fort Lupton,CO,80621,Consultant & Professional Services,
KEEP COLORADO COUNTIES SAFE,Independent Expenditure Committee,282.0,2025-02-05 00:00:00,Ups,Littleton,CO,80120,Other,Usps Mail Service
LET COLORADO VOTE ACTION,Independent Expenditure Committee,10.0,2025-02-05 00:00:00,First Bank,Denver,CO,80231,Bank Fees,Bank Fee
NEW DAY COLORADO FUND,527 Political Organization,200.0,2025-02-05 00:00:00,Anthem Communications,Brighton,CO,80601,Consultant & Professional Services,
NEW DAY COLORADO FUND,527 Political Organization,1000.0,2025-02-05 00:00:00,Sws Polifi Llc,Fort Lupton,CO,80621,Consultant & Professional Services,
NEW DAY COLORADO FUND,527 Political Organization,7.3,2025-02-07 00:00:00,Anedot,New Orleans,LA,70112,Bank Fees,
SENATE MAJORITY FUND,527 Political Organization,600.0,2025-02-07 00:00:00,"Strategic Compliance, Llc",Denver,CO,80205,Consultant & Professional Services,Compliance Consulting
SENATE MAJORITY FUND,527 Political Organization,12913.19,2025-02-07 00:00:00,Westbrooke Group,Denver,CO,80206,Consultant & Professional Services,
COLORADO HEALTH FREEDOM PAC,Independent Expenditure Committee,2.0,2025-02-10 00:00:00,Firstbank,Castle Rock,CO,80104,Bank Fees,Fees For Firstbank Credit/Debit Card
SENATE MAJORITY FUND,527 Political Organization,47.32,2025-02-10 00:00:00,Mailchimp,Atlanta,GA,30308,Advertising,Email Communications
COLORADO HOSPITALS ACTION FUND,Independent Expenditure Committee,147.82,2025-02-11 00:00:00,,,,,Bank Fees,Feb Bank Fee
COLORADO LABOR ACTION,Independent Expenditure Committee,1405.34,2025-02-11 00:00:00,Jacob  Becklund,Denver,CO,80203,Travel & Lodging,Reimbursement
COLORADO LABOR ACTION,Independent Expenditure Committee,400.0,2025-02-11 00:00:00,Jacob  Becklund,Denver,CO,80203,Other,Reimbursement Event Expense
COLORADO LABOR ACTION,Independent Expenditure Committee,280.22,2025-02-11 00:00:00,Jacob  Becklund,Denver,CO,80203,Travel & Lodging,Reimbursement
COLORADO LABOR ACTION,Independent Expenditure Committee,1102.3,2025-02-11 00:00:00,Jacob  Becklund,Denver,CO,80203,Other,Reimbursement Cell Phone
COLORADO LABOR ACTION,Independent Expenditure Committee,2087.5,2025-02-11 00:00:00,Jacob  Becklund,Denver,CO,80203,Travel & Lodging,Reimbursement Mileage
BETTER SCHOOLS FOR A STRONGER COLORADO IEC (BSSC IEC),Independent Expenditure Committee,965.71,2025-02-12 00:00:00,"Stand For Children, Inc",Portland,OR,97201,Employee Services,Personnel Services
NEW DAY COLORADO FUND,527 Political Organization,30380.03,2025-02-12 00:00:00,Timor Strategies Llc,Lakewood,CO,80227,Consultant & Professional Services,
